Number of iterations,Average reward,Standard deviation
10,17873.067026159035,4608.047088651583
100,18914.294578429177,1842.4831701472178
1000,18602.99371147653,416.33948347712146
10000,18439.105840605258,157.6278381953976
100000,18431.243341953825,54.63898763557148
1000000,18442.559729521214,15.298491778777107
10000000,18441.143451473377, 4.914064596886872
